id,title,Action,Adventure,Animation and Modeling,Audio Production,Casual,Design and Illustration,Early Access,Education,Free to Play,Indie,Massively Multiplayer,Photo Editing,RPG,Racing,Simulation,Software Training,Sports,Strategy,Utilities,Video Production,Web Publishing,recommend,sentiment_analysis
70,Half-Life,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,2
1630,Disciples II: Rise of the Elves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,True,2
2400,The Ship: Murder Party,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,False,1
3800,Advent Rising,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,2
1520,DEFCON,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,True,2
4000,Garry's Mod,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,True,0
211820,Starbound,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,True,1
4230,RACE - The WTCC Game,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,True,1
6200,Ghost Master®,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,True,2
6210,Vegas: Make It Big™,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,True,2
6300,Dreamfall: The Longest Journey,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,False,1
2990,FlatOut 2™,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,True,2
6220,FlatOut,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,True,2
6510,Lost Planet™: Extreme Condition,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,1
1700,Arx Fatalis,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,True,2
6310,The Longest Journey,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,True,1
7600,Sid Meier's Railroads!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,True,2
7650,X-COM: Terror From the Deep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,True,2
8000,Tomb Raider: Anniversary,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,1
6550,Devil May Cry® 3 Special Edition,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,2
2280,Ultimate Doom,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,1
2300,DOOM II,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0
2270,Wolfenstein 3D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,2
9010,Return to Castle Wolfenstein,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0
3810,BloodRayne,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,2
2310,QUAKE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,2
7670,BioShock™,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,True,1
4570,"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,True,1
4580,"Warhammer® 40,000: Dawn of War® - Dark Crusade",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,True,0
4760,Rome: Total War™ - Collection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,True,2
4770,Rome: Total War™ - Alexander,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,True,2
12160,Midnight Club 2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,True,2
7000,Tomb Raider: Legend,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0
12140,Max Payne,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,2
17480,Command &amp; Conquer: Red Alert 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,True,2
12510,Prison Tycoon 3™: Lockdown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,True,2
2780,ARMA: Combat Operations,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,2
2700,RollerCoaster Tycoon® 3: Platinum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,False,2
13200,Unreal 2: The Awakening,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,2
13520,Far Cry®,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,2
13240,Unreal Tournament: Game of the Year Edition,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,1
15960,Little Farm,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,2
15200,Silent Hunter®: Wolves of the Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,True,1
11040,Sherlock Holmes - Nemesis,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,True,2
15710,Oddworld: Abe's Exoddus®,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,2
15700,Oddworld: Abe's Oddysee®,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0
7760,X-COM: UFO Defense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,True,2
20510,S.T.A.L.K.E.R.: Clear Sky,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,True,1
17300,Crysis,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,2
20900,The Witcher: Enhanced Edition Director's Cut,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,True,2
1530,Multiwinia,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,True,0
21000,LEGO Batman,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,2
3540,Peggle™ Nights,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0
22000,World of Goo,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,True,2
2820,X3: Terran Conflict,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,True,2
12200,Bully: Scholarship Edition,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,2
19900,Far Cry® 2: Fortune's Edition,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0
11240,Space Trader: Merchant Marine,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,True,0
9480,Saints Row 2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,2
17470,Dead Space,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,1
12770,Rise of the Argonauts,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,True,2
17410,Mirror's Edge™,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,2
18500,Defense Grid: The Awakening,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,True,2
16450,F.E.A.R. 2: Project Origin,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,2
11340,Larva Mortus,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,True,1
13210,Unreal Tournament 3 Black,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,2
24740,Burnout Paradise: The Ultimate Box,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,True,1
11330,Obulis,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,True,0
1930,Two Worlds Epic Edition,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,True,2
7510,X-Blades,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,True,2
